date,crop,market,price,rainfall,temperature
2023-02-01,beans,Meru,4383.49,98.01,30.54
2023-02-01,beans,Nairobi,4743.7,108.38,18.15
2023-02-01,tomatoes,Embu,2916.36,192.59,26.03
2023-02-01,tomatoes,Meru,2537.11,144.78,24.28
2023-02-01,tomatoes,Nairobi,2440.89,150.88,28.53
2023-03-01,maize,Embu,3260.14,168.74,29.05
2023-03-01,maize,Meru,2599.85,58.63,25.69
2023-03-01,maize,Nairobi,2807.49,116.23,30.43
2023-03-01,beans,Embu,4219.74,71.45,28.66
2023-03-01,beans,Meru,4874.34,142.73,19.42
2023-03-01,beans,Nairobi,4113.06,60.91,29.51
2023-03-01,tomatoes,Embu,2607.29,155.94,19.14
2023-03-01,tomatoes,Meru,2452.88,171.92,31.26
2023-03-01,tomatoes,Nairobi,2774.87,197.9,28.55
2023-04-01,maize,Embu,3273.82,166.57,25.82
2023-04-01,maize,Meru,2950.58,113.63,30.69
2023-04-01,maize,Nairobi,2566.78,51.7,24.56
2023-04-01,beans,Embu,4463.5,58.45,19.66
2023-04-01,beans,Meru,4620.74,161.91,26.17
2023-04-01,beans,Nairobi,5144.69,194.33,23.25
2023-04-01,tomatoes,Embu,2207.75,83.54,31.49
2023-04-01,tomatoes,Meru,2172.37,51.82,31.58
2023-04-01,tomatoes,Nairobi,2292.79,61.07,25.75
2023-05-01,maize,Embu,3760.74,195.4,25.32
2023-05-01,maize,Meru,3247.04,118.18,26.79
2023-05-01,maize,Nairobi,3513.87,137.65,30.62
2023-05-01,beans,Embu,4383.7,91.61,20.63
2023-05-01,beans,Meru,4487.01,119.55,22.95
2023-05-01,beans,Nairobi,4874.74,196.16,31.81
2023-05-01,tomatoes,Embu,2953.6,154.72,25.51
2023-05-01,tomatoes,Meru,2742.63,152.71,20.28
2023-05-01,tomatoes,Nairobi,2578.84,186.64,29.52
2023-06-01,maize,Embu,3713.34,189.91,30.12
2023-06-01,maize,Meru,3152.42,56.78,18.37
2023-06-01,maize,Nairobi,3494.51,198.09,20.11
2023-06-01,beans,Embu,4706.04,139.12,23.33
2023-06-01,beans,Meru,4872.12,112.22,21.83
2023-06-01,beans,Nairobi,4191.21,58.46,30.11
2023-06-01,tomatoes,Embu,2711.6,165.35,31.23
2023-06-01,tomatoes,Meru,2744.45,177.45,21.46
2023-06-01,tomatoes,Nairobi,2907.33,193.11,26.49
2023-07-01,maize,Embu,2566.58,84.3,27.4
2023-07-01,maize,Meru,3042.66,67.03,27.4
2023-07-01,maize,Nairobi,3299.84,128.05,28.81
2023-07-01,beans,Embu,4660.37,132.79,25.85
2023-07-01,beans,Meru,5063.59,181.5,23.65
2023-07-01,beans,Nairobi,5132.16,155.61,20.98
2023-07-01,tomatoes,Embu,2699.89,70.46,18.2
2023-07-01,tomatoes,Meru,2209.94,108.84,24.12
2023-07-01,tomatoes,Nairobi,3271.08,185.62,22.88
2023-08-01,maize,Embu,3028.04,109.48,26.71
2023-08-01,maize,Meru,2930.23,179.35,31.29
2023-08-01,maize,Nairobi,2948.83,118.87,31.72
2023-08-01,beans,Embu,4406.52,123.89,22.6
2023-08-01,beans,Meru,4544.75,61.38,19.8
2023-08-01,beans,Nairobi,4516.82,69.21,20.13
2023-08-01,tomatoes,Embu,2241.65,77.28,22.84
2023-08-01,tomatoes,Meru,2732.74,184.52,24.64
2023-08-01,tomatoes,Nairobi,2623.58,78.84,18.57
2023-09-01,maize,Embu,2917.29,75.34,21.9
2023-09-01,maize,Meru,2735.71,80.95,23.1
2023-09-01,maize,Nairobi,2934.31,125.51,27.67
2023-09-01,beans,Embu,4830.14,181.04,30.89
2023-09-01,beans,Meru,4481.12,59.16,21.88
2023-09-01,beans,Nairobi,4621.27,77.68,20.93
2023-09-01,tomatoes,Embu,2229.15,105.57,24.78
2023-09-01,tomatoes,Meru,2800.98,119.38,28.46
2023-09-01,tomatoes,Nairobi,2462.14,55.5,21.53
2023-10-01,maize,Embu,3187.02,126.75,25.45
2023-10-01,maize,Meru,2523.81,66.08,24.26
2023-10-01,maize,Nairobi,3026.99,90.39,23.28
2023-10-01,beans,Embu,4185.56,53.01,22.51
2023-10-01,beans,Meru,4014.16,67.96,30.47
2023-10-01,beans,Nairobi,4643.45,139.04,27.51
2023-10-01,tomatoes,Embu,2600.79,63.04,25.52
2023-10-01,tomatoes,Meru,2413.96,138.03,28.44
2023-10-01,tomatoes,Nairobi,2463.1,92.57,23.08
2023-11-01,maize,Embu,2934.91,146.89,25.99
2023-11-01,maize,Meru,3036.13,65.27,20.14
2023-11-01,maize,Nairobi,2911.0,86.89,20.25
2023-11-01,beans,Embu,4096.14,76.01,30.55
2023-11-01,beans,Meru,4357.4,62.04,25.34
2023-11-01,beans,Nairobi,4352.58,66.81,23.57
2023-11-01,tomatoes,Embu,2759.41,195.42,30.12
2023-11-01,tomatoes,Meru,2482.02,75.63,27.36
2023-11-01,tomatoes,Nairobi,2597.26,189.41,25.79
2023-12-01,maize,Embu,3523.42,165.42,20.62
2023-12-01,maize,Meru,2688.13,98.55,23.96
2023-12-01,maize,Nairobi,2814.77,67.23,26.55
2023-12-01,beans,Embu,4430.51,93.29,26.14
2023-12-01,beans,Meru,4532.73,129.89,18.73
2023-12-01,beans,Nairobi,4806.08,100.49,19.88
2023-12-01,tomatoes,Embu,2274.78,88.2,27.54
2023-12-01,tomatoes,Meru,2299.06,164.03,26.34
2023-12-01,tomatoes,Nairobi,2232.0,102.33,31.01
2024-01-01,maize,Embu,3316.99,174.59,31.51
2024-01-01,maize,Meru,3422.21,190.75,20.54
2024-01-01,maize,Nairobi,2965.91,59.97,28.38
2024-01-01,beans,Embu,4323.04,70.97,29.13
2024-01-01,beans,Meru,4574.29,80.24,20.29
2024-01-01,beans,Nairobi,4658.24,149.78,25.32
2024-01-01,tomatoes,Embu,2653.75,103.82,30.28
2024-01-01,tomatoes,Meru,2532.19,115.87,23.28
2024-01-01,tomatoes,Nairobi,2656.31,119.4,22.22
2024-02-01,maize,Embu,3147.57,84.83,30.59
2024-02-01,maize,Meru,3072.85,107.58,25.61
2024-02-01,maize,Nairobi,2868.69,67.53,31.16
2024-02-01,beans,Embu,4834.71,144.16,22.69
2024-02-01,beans,Meru,4622.63,143.01,25.47
2024-02-01,beans,Nairobi,4747.74,184.08,29.04
2024-02-01,tomatoes,Embu,2198.09,87.27,28.42
2024-02-01,tomatoes,Meru,2351.38,55.03,25.98
2024-02-01,tomatoes,Nairobi,2483.34,101.31,29.5
2024-03-01,maize,Embu,2681.99,66.59,29.85
2024-03-01,maize,Meru,3250.24,169.59,20.1
2024-03-01,maize,Nairobi,3033.63,84.39,28.11
2024-03-01,beans,Embu,5029.63,154.09,25.6
2024-03-01,beans,Meru,4126.31,87.77,22.84
2024-03-01,beans,Nairobi,4770.47,119.3,31.26
2024-03-01,tomatoes,Embu,2830.02,73.0,26.21
2024-03-01,tomatoes,Meru,2185.23,52.72,30.21
2024-03-01,tomatoes,Nairobi,3027.05,189.82,25.91
2024-04-01,maize,Embu,3422.49,156.09,20.14
2024-04-01,maize,Meru,3470.97,136.44,26.49
2024-04-01,maize,Nairobi,3229.37,190.16,30.96
2024-04-01,beans,Embu,4707.57,117.63,19.59
2024-04-01,beans,Meru,4940.57,138.69,23.59
2024-04-01,beans,Nairobi,4134.8,58.21,22.69
2024-04-01,tomatoes,Embu,2204.52,130.61,30.88
2024-04-01,tomatoes,Meru,2485.46,101.95,22.86
2024-04-01,tomatoes,Nairobi,2765.57,83.69,24.33
2024-05-01,maize,Embu,2406.88,71.13,20.47
2024-05-01,maize,Meru,3463.81,187.23,23.07
2024-05-01,maize,Nairobi,3094.63,137.09,26.85
2024-05-01,beans,Embu,3953.58,62.8,31.96
2024-05-01,beans,Meru,4602.72,125.33,26.34
2024-05-01,beans,Nairobi,4291.15,81.49,30.57
2024-05-01,tomatoes,Embu,2483.91,80.77,20.67
2024-05-01,tomatoes,Meru,2686.55,134.73,18.92
2024-05-01,tomatoes,Nairobi,2314.53,166.33,24.35
2024-06-01,maize,Embu,3252.17,110.11,25.83
2024-06-01,maize,Meru,2673.99,73.29,20.55
2024-06-01,maize,Nairobi,3102.99,146.6,23.72
2024-06-01,beans,Embu,4552.45,53.81,20.19
2024-06-01,beans,Meru,4602.48,54.06,21.11
2024-06-01,beans,Nairobi,4270.27,84.66,27.41
2024-06-01,tomatoes,Embu,2910.74,147.91,21.33
2024-06-01,tomatoes,Meru,2538.68,64.92,21.4
2024-06-01,tomatoes,Nairobi,2990.31,174.53,23.56
2024-07-01,maize,Embu,3452.29,150.21,20.87
2024-07-01,maize,Meru,2813.9,51.95,19.2
2024-07-01,maize,Nairobi,3103.71,81.18,18.37
2024-07-01,beans,Embu,4205.9,113.21,30.5
2024-07-01,beans,Meru,4766.51,172.62,22.79
2024-07-01,beans,Nairobi,4475.97,138.54,21.75
2024-07-01,tomatoes,Embu,2327.09,143.62,23.73
2024-07-01,tomatoes,Meru,2684.57,94.17,31.28
2024-07-01,tomatoes,Nairobi,2915.95,164.54,19.96
2024-08-01,maize,Embu,3557.62,184.18,29.2
2024-08-01,maize,Meru,3264.18,113.78,18.31
2024-08-01,maize,Nairobi,2950.87,145.02,21.61
2024-08-01,beans,Embu,4264.42,70.9,29.69
2024-08-01,beans,Meru,4512.03,75.75,21.81
2024-08-01,beans,Nairobi,4186.96,52.76,30.8
2024-08-01,tomatoes,Embu,2244.7,91.11,25.76
2024-08-01,tomatoes,Meru,2697.44,147.71,29.62
2024-08-01,tomatoes,Nairobi,2850.72,140.08,27.31
2024-09-01,maize,Embu,2397.32,76.31,30.8
2024-09-01,maize,Meru,3010.12,127.84,18.66
2024-09-01,maize,Nairobi,2845.42,74.94,28.33
2024-09-01,beans,Embu,4313.93,86.8,23.45
2024-09-01,beans,Meru,4311.76,93.3,22.98
2024-09-01,beans,Nairobi,4892.24,134.96,24.66
2024-09-01,tomatoes,Embu,2453.77,149.55,31.12
2024-09-01,tomatoes,Meru,2480.02,54.68,21.67
2024-09-01,tomatoes,Nairobi,3333.93,139.26,18.72
2024-10-01,maize,Embu,2905.62,100.14,28.79
2024-10-01,maize,Meru,2941.91,65.99,19.05
2024-10-01,maize,Nairobi,3638.71,153.26,24.09
2024-10-01,beans,Embu,4471.93,86.96,29.47
2024-10-01,beans,Meru,4623.36,90.82,26.26
2024-10-01,beans,Nairobi,4620.2,104.15,19.28
2024-10-01,tomatoes,Embu,2501.25,77.77,25.59
2024-10-01,tomatoes,Meru,2951.64,180.94,28.25
2024-10-01,tomatoes,Nairobi,2887.59,153.84,29.89
2024-11-01,maize,Embu,3026.14,87.45,24.85
2024-11-01,maize,Meru,2907.94,77.09,25.95
2024-11-01,maize,Nairobi,3350.9,187.32,18.48
2024-11-01,beans,Embu,5022.03,188.66,31.59
2024-11-01,beans,Meru,4971.08,191.64,24.64
2024-11-01,beans,Nairobi,4403.18,97.87,29.6
2024-11-01,tomatoes,Embu,2163.9,55.55,26.35
2024-11-01,tomatoes,Meru,2190.92,61.54,27.75
2024-11-01,tomatoes,Nairobi,2404.6,100.98,28.15
2024-12-01,maize,Embu,2985.27,130.92,29.07
2024-12-01,maize,Meru,3007.22,97.81,26.76
2024-12-01,maize,Nairobi,3235.81,84.94,18.34
2024-12-01,beans,Embu,5053.08,180.51,18.3
2024-12-01,beans,Meru,5083.74,190.86,29.18
2024-12-01,beans,Nairobi,4936.79,199.69,22.91
2024-12-01,tomatoes,Embu,2856.07,121.98,26.79
2024-12-01,tomatoes,Meru,2680.61,181.05,31.78
2024-12-01,tomatoes,Nairobi,2790.17,113.2,28.33
